,name,text,Label,reviewUrl,reviewerUrl,stars,publishAt,text_tokens
27,Faroq Romdhoni,kesana karena medsos tp worth it perjala dr sidoarjo ke madura sekalian jalan² harga worth it dg porsi yang pas dan rasa yg enak daging empal dan parunya empuk bumbunya jg sedap manteb lah bangu baru dan luas fasilitas lengkap disediakan toilet dan musholla yg bersih namun kebersihan di tempat makan perlu diperhatikan perlu adanya tempat sampah utk tissue ato klo tdk setiap meja dibersihkan sisa sampah tissue di bawah meja jg ikut dibersihkan overall recommended ,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoby1haU13EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICho-aiMw%7CCgwIzbTQnwYQ6J7yiQI%7C?hl=id,https://www.google.com/maps/contrib/110381795160728144749?hl=id,4,sebulan lalu,kesana medsos tp worth jala dr sidoarjo madura jalan harga worth dg porsi pas yg enak daging empal paru empuk bumbu jg sedap manteb bangu luas fasilitas lengkap sedia toilet musholla yg bersih bersih makan perhati sampah utk tissue ato klo tdk meja bersih sisa sampah tissue meja jg bersih overall recommended
28,Novian Budi Santoso,enak murah,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNodmI2ZXh3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIChvb6exwE%7CCgwI9e_MnwYQoJu_mgM%7C?hl=id,https://www.google.com/maps/contrib/107361882858339991040?hl=id,5,sebulan lalu,enak murah
29,Andy Sugiarto,maka yang khas dan rasanya enak,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoM2M2NWF3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICh3c65aw%7CCgwIqdPLnwYQsJPTkgI%7C?hl=id,https://www.google.com/maps/contrib/102981247465777775418?hl=id,5,sebulan lalu,khas enak
31,Moch Ansori,nasi campurnya enak banget dan murah banget,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNodGNDM3l3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIChtcC3ywE%7CCgwIzN_DnwYQoJOengE%7C?hl=id,https://www.google.com/maps/contrib/114827121379581197600?hl=id,5,sebulan lalu,nasi campur enak banget murah banget
34,Angga Nurin Yusnia,rasanya biasa aja kebersihan dapur oke sih over rated buuat harga k meskipun isian proteinnya lumayan banyak quantity oke but low quality saran untuk pramusajinya jangan ngerokok dong meskipun nunggu pengantaran orderan masa ngantar orderan juga sambil bawa rokok,Negatif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNodnN5dEd3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIChvsytGw%7CCgwIrfmrnwYQgOi-vgE%7C?hl=id,https://www.google.com/maps/contrib/103074237451273246728?hl=id,2,2 bulan lalu,aja bersih dapur oke sih rated buuat harga k isi protein lumayan quantity oke low quality saran pramusaji ngerokok nunggu antar order ngantar order bawa rokok
35,devy andriany,pas diajakin sama pak driver makan disini pertama aga bingung mau makan apa yaa disini tapi eeeh pas di cicipin enak nya luar biasa harga terjangkau top,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoN3ZqSWVREAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICh7vjIeQ%7CCgwI8PKonwYQqLqpxAE%7C?hl=id,https://www.google.com/maps/contrib/116961794547975740963?hl=id,5,2 bulan lalu,pas diajakin driver makan aga bingung makan yaa eeeh pas cicipin enak nya harga jangkau top
38,Suwandi Ko,b aja ga ada yg spesial,Negatif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNodXVfU3pBRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIChuu_SzAE%7CCgwI2MScnwYQqPHj7QI%7C?hl=id,https://www.google.com/maps/contrib/109830294882601553361?hl=id,3,2 bulan lalu,b aja ga yg spesial
39,Putut Andi Saputra,makanya sangat enak tempatnya adem,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURrLWNMLS1nRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDk-cL--gE%7CCgwIoL6SnwYQyK202wM%7C?hl=id,https://www.google.com/maps/contrib/117882642322999949035?hl=id,5,2 bulan lalu,enak tempat adem
40,DIYANTORO DIYANTORO,not bad,Negatif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNoZ3Vpa0xBEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIChguikLA%7CCgwIlMiNnwYQuLSVzgM%7C?hl=id,https://www.google.com/maps/contrib/110369087293071023979?hl=id,4,2 bulan lalu,bad
42,Cak DeEn,lumayan enak murah,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNoN0ktU3hRRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICh7I-SxQE%7CCgwIhJiJnwYQ6PKM9QI%7C?hl=id,https://www.google.com/maps/contrib/101623938747832091095?hl=id,4,2 bulan lalu,lumayan enak murah
44,Ridha Muharramsyah,jos markojos,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNock1qUUp3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIChrMjQJw%7CCgwIgsKHnwYQ6NHbjgE%7C?hl=id,https://www.google.com/maps/contrib/105411008644928152731?hl=id,5,2 bulan lalu,jos markojos
45,lovianto evant,lumayan enak bagi yg bosen bebek,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNoek9xQW13RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIChzOqAmwE%7CCgwImMWGnwYQiMOorwI%7C?hl=id,https://www.google.com/maps/contrib/111369280305401720488?hl=id,5,2 bulan lalu,lumayan enak yg bosen bebek
46,Setyaningsih Azis,nice place simple makannyannya tapi enak dan pasti pengen balik lagi,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtM1pUZmxRRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgID-3ZTflQE%7CCgwI2P-FnwYQkLuZ0gM%7C?hl=id,https://www.google.com/maps/contrib/104182356113923810092?hl=id,5,2 bulan lalu,nice place simple makannyannya enak ken
47,Novian Budi Santoso,enak,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCLTVXU2ZREAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDB-5WSfQ%7CCgwIp9fcngYQiIOOoAM%7C?hl=id,https://www.google.com/maps/contrib/117354449199908379691?hl=id,5,2 bulan lalu,enak
51,Kausalina Esthirinahayu,enak,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURCazZtSzZBRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDBk6mK6AE%7CCgwIuvnQngYQkLPR3AM%7C?hl=id,https://www.google.com/maps/contrib/109827629915283087146?hl=id,5,2 bulan lalu,enak
52,elsa mahardika,pertamakali coba maka ini yang biasanya kalo kita ke madura cuma makan perbebekan ini ada tempat makan tujuan baruu warung gang amboina buka dari jam harganya ramah di kantong pemiliknya baik pegawainya ramah ramah makanya g perlu di tanya ya masakan orang madura pasti enakk bakal balik lagi si kesini ,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCbzVtbmRnEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDBo5mndg%7CCgwIobfPngYQ8Pvh3wE%7C?hl=id,https://www.google.com/maps/contrib/116862927021041417933?hl=id,5,2 bulan lalu,pertamakali coba kalo madura makan bebe makan tuju baruu warung gang amboina buka jam harga ramah kantong milik pegawai ramah ramah g ya masakan orang madura enakk si kesini
53,fitria agustin,parkir luas maka enak,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNDeXBqQ2pnRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICCypjCjgE%7CCgwI-tDNngYQqP3dxAI%7C?hl=id,https://www.google.com/maps/contrib/115410713967162970568?hl=id,4,2 bulan lalu,parkir luas enak
54,Dj Saltshaker,masakan enak es teler ga recomendended,Negatif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCZzU3clFnEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDBg57rQg%7CCgsIyaTNngYQgMHFQw%7C?hl=id,https://www.google.com/maps/contrib/104464715274704271390?hl=id,4,2 bulan lalu,masakan enak es teler ga recomendended
55,yogi setiawan,enak terjangkau,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCOWZUVGZBEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDB9fTTfA%7CCgwIzrzEngYQgNiN2wI%7C?hl=id,https://www.google.com/maps/contrib/108729288812054346656?hl=id,5,2 bulan lalu,enak jangkau
60,Mas Purwo (Mas Purwo),rasa kuah santan yg pas klo cocok,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURCdHVfdDhRRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDBtu_t8QE%7CCgwIv6ejngYQ-PqxqwI%7C?hl=id,https://www.google.com/maps/contrib/101967147824269120209?hl=id,4,2 bulan lalu,kuah santan yg pas klo cocok
61,Indra Awhe,nasi campur nya mantaaapppp,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURCcHBieHZ3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDBppbxvwE%7CCgsIyuOengYQ8K7gXQ%7C?hl=id,https://www.google.com/maps/contrib/117396300208864655904?hl=id,5,2 bulan lalu,nasi campur nya mantaaapppp
62,Matz KentUnK,jos markojos,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCcG96NGF3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDBpoz4aw%7CCgwI5sGengYQ4JGC5gE%7C?hl=id,https://www.google.com/maps/contrib/102569706282322678121?hl=id,5,2 bulan lalu,jos markojos
64,Faisal estu Yulianto,bersih nyaman dan enak,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURCOHRLdXVBRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDB8tKuuAE%7CCgwIl7iTngYQiPfAwAE%7C?hl=id,https://www.google.com/maps/contrib/117142498661816271427?hl=id,5,3 bulan lalu,bersih nyaman enak
65,Yusuf Hidayat,mantap,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCa3VxSkxREAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDBkuqJLQ%7CCgwIs4iQngYQyNyk7AI%7C?hl=id,https://www.google.com/maps/contrib/116738355871936496261?hl=id,5,3 bulan lalu,mantap
66,RMK,nasi campur dan rawon enak,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURCdkxINC1BRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDBvLH4-AE%7CCgsIq4SKngYQ0PCXMw%7C?hl=id,https://www.google.com/maps/contrib/111392029401567837308?hl=id,4,3 bulan lalu,nasi campur rawon enak
67,Astried Febrianti,taste gulenya berbeda tp enak menu lainnya juga lumayan anak saya paling seneng sama sempolnya,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCM0l2Qkl3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDB3IvBIw%7CCgsIm5eJngYQsODlQQ%7C?hl=id,https://www.google.com/maps/contrib/101313740377215842321?hl=id,5,3 bulan lalu,taste gulenya beda tp enak menu lumayan anak neng sempolnya
68,Zainal Abidin,masakannya enak,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCMk9LZUp3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDB2OKeJw%7CCgwInpr4nQYQ4M-etwI%7C?hl=id,https://www.google.com/maps/contrib/109453703280475883505?hl=id,5,3 bulan lalu,masakan enak
71,Fiki,delicious foods,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURRMnZTZDd3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDQ2vSd7wE%7CCgwIiYfqnQYQyP-k-QE%7C?hl=id,https://www.google.com/maps/contrib/103413339653006823340?hl=id,4,3 bulan lalu,delicious foods
72,ERIK SETAAJI,tidak pernah mengecewakan disarankan kesini buat sarapan biar suasaya sejuk dan cocok banget buat perut perut yang lapar ,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNCNzRfVGZnEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICB74_Tfg%7CCgwIhanonQYQyMGgnQI%7C?hl=id,https://www.google.com/maps/contrib/117606426352918619971?hl=id,5,3 bulan lalu,kecewa saran kesini sarap biar suasaya sejuk cocok banget perut perut lapar
73,Resma Ayu Bremasti,makanya enak sekali serba daging dan jeroan nasi campur dan rawon andalannya bangunya baru direnovasi jadi lebih bagus dan bersih parkirnya juga luas pelayanya cepat tempat makannya banyak jadi tidak usah takut tidak kebagian meja,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNCcDYzYUZREAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICBp63aFQ%7CCgwIz7_fnQYQwO-m1wI%7C?hl=id,https://www.google.com/maps/contrib/102042719393672337774?hl=id,5,3 bulan lalu,enak serba daging jeroan nasi campur rawon andal bangunya renovasi bagus bersih parkir luas pelayanya cepat makan takut bagi meja
74,Abi Mariono,menunya enak enak laya lama menunggunya duduknya terlalu rapat dengan sebelah,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCNjl2Ym1RRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICB69vbmQE%7CCgwInJHYnQYQ-LbvkwE%7C?hl=id,https://www.google.com/maps/contrib/101334004408979965327?hl=id,4,3 bulan lalu,menu enak enak laya tunggu duduk rapat belah
75,dunia maya,menunggu terlalu lama padahal sudah sangat laparr nasi campurnya enak paru dan empal enakk nasi rawonnya ga seenak yang dulu,Negatif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNCemZlX1FBEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICBzfe_QA%7CCgwI4J3GnQYQuPTmpAE%7C?hl=id,https://www.google.com/maps/contrib/102106447380341078195?hl=id,4,3 bulan lalu,tunggu laparr nasi campur enak paru empal enakk nasi rawon ga enak
